ID,Shot,MJD,Texp,RAcen,DEcen,RAsta,DEsta,RAend,DEend,Length,PA,Area,Nifu,gmag,gSB,SNR,NORAD,Name,COSPAR,Type,Owner,Launch,Constel,Class,Resid,dPA,Uniq,MJDx,TLEage,Range,Height,Rate,Incl,Perigee,Apogee,Period,ginst,FWHM,Dither,MJDopen,MJDclos,IDsrc
307,20220827024,59818.39902662037,487.67138671875,33.244911193847656,-1.712404489517212,33.162681579589844,-1.7347017526626587,33.33745193481445,-1.6873117685317993,651.6173095703125,74.8221206665039,3781.0,7,16.04570770263672,24.98972511291504,7.393094539642334,20523,INTELSAT 603,1990-021A,PAYLOAD,ITSO,1990-03-14,Other,GEO,5.750456010247262,0.5281225291508207,1,59818.41536205682,0.5655770488665439,36938.487657609694,35983.35521662789,15.007493849576237,13.1314,35973.57450455923,36048.18765065904,1447.5705333266021,12.960244593896128,1.396389126777649,3,59818.41122750925,59818.41687680392,spacetrack
308,20220829013,59820.12804050926,368.1653747558594,269.7368469238281,64.50547790527344,269.6935729980469,64.48291015625,269.80621337890625,64.5416488647461,274.18280029296875,39.53628921508789,793.25,2,16.0162353515625,23.264760971069336,26.142837524414062,44760,STARLINK-1055,2019-074AZ,PAYLOAD,US,2019-11-11,Starlink,LEO,21.74152656334627,0.20852836497978444,1,59820.13445220412,-4.737402977887541,652.4016461689333,542.1530725847242,2193.2351171370265,53.0539,546.3092431996802,548.158316663922,95.59255889518295,5.823338208947602,1.8170745372772217,2,59820.132757337924,59820.13702064394,spacetrack
309,20220905025,59827.39925578704,466.9573669433594,35.245487213134766,-2.205493688583374,35.141658782958984,-2.233534097671509,35.343406677246094,-2.1790482997894287,751.7920532226562,74.87606048583984,3386.75,6,16.247520446777344,25.071979522705078,7.905089855194092,26736,EKRAN 21,2001-014A,PAYLOAD,CIS,2001-04-07,Other,GEO,3.7191058181406333,0.042764559673784674,1,59827.40681616836,-1.6098691910156049,36787.34409809579,35864.62920444627,15.09099010136461,13.4761,35840.75289709552,36120.34562844035,1446.0170795102333,13.036474592834349,1.355218529701233,2,59827.40535303031,59827.41100376045,spacetrack
310,20220905028,59827.42870486111,487.3743896484375,25.22987174987793,-1.9636931419372559,25.12454605102539,-1.968613862991333,25.348644256591797,-1.9581440687179565,807.1554565429688,87.32350158691406,2079.25,4,14.854686737060547,23.14945411682129,41.994361877441406,40946,MORELOS 3,2015-056A,PAYLOAD,MEX,2015-10-02,Other,GEO,4.112633872392735,0.014802688516439844,1,59827.43216923932,-1.3081070132902823,36731.96486345499,35795.633221860924,15.047092733277537,3.6191000000000004,35772.19550770986,35800.59753614303,1436.0866638410328,11.117112651710482,1.5915998220443726,1,59827.42870486111,59827.43434374625,spacetrack
311,20220916006,59838.097877314816,367.8070373535156,269.9794616699219,64.52772521972656,269.73004150390625,64.58643341064453,270.2339172363281,64.46781158447266,889.3681030273438,118.69581604003906,3376.0,7,15.312408447265625,24.13341522216797,20.879377365112305,,,,,,,,,,,,,,,,,,,,,,1.6662677526474,3,59838.107316050286,59838.11156951085,
312,20220921017,59843.30919212963,427.3326110839844,30.970666885375977,1.6058224439620972,30.908390045166016,1.5885584354400635,31.033884048461914,1.623347282409668,468.643798828125,74.49993133544922,1983.0,4,15.53520393371582,23.77851104736328,24.6678409576416,23426,LUCH,1994-082A,PAYLOAD,CIS,1994-12-16,Other,GEO,3.456925437285463,0.017671195924904737,1,59843.31130992425,1.5255127109703608,36833.16410841301,35771.188678340324,15.217169432208602,14.840199999999998,35723.226605001,35789.39453832674,1434.5498867612146,11.733966661693012,1.928186297416687,1,59843.30919212963,59843.31414524488,spacetrack
313,20220923008,59845.09459606482,547.7816772460938,269.05816650390625,64.70012664794922,268.9587097167969,64.71703338623047,269.1678466796875,64.68148040771484,346.26251220703125,111.69011688232422,1837.5,3,16.21022605895996,24.37079429626465,14.18272590637207,43110,CZ-3B R/B,2018-003D,ROCKET BODY,PRC,2018-01-11,Other,HEO,2.7224546255126825,0.03346814726394598,1,59845.099951449134,-4.723980604321696,7852.393231219596,7101.985407068402,134.91753829110922,54.9248,484.915288123344,17494.01469129118,315.9866985838101,9.956914040210478,2.0559442043304443,1,59845.09459606482,59845.10093429947,spacetrack
314,20220923020,59845.36199884259,367.2658386230469,14.909195899963379,-0.6871517896652222,14.885893821716309,-0.69413822889328,14.935544967651367,-0.6792518496513367,186.5923614501953,73.30913543701172,855.5,2,17.35114860534668,24.681697845458984,6.422552585601807,19919,TELE-X,1989-027A,PAYLOAD,SWED,1989-04-02,Other,GEO,2.896884351036988,0.02607968628339563,1,59845.369288984075,-0.04836809792323038,37100.59886645881,36125.73901746664,14.933537697246816,15.141799999999998,36053.90581126657,36140.71712876199,1452.000142296014,12.65758251651705,1.5215543508529663,2,59845.366702862,59845.3709493731,spacetrack
315,20220923022,59845.3950462963,428.1075439453125,27.003116607666016,-0.7957745790481567,26.945711135864258,-0.8118215203285217,27.07472801208496,-0.7757571935653687,482.2281188964844,74.38138580322266,2446.5,4,15.762423515319824,24.23378562927246,15.915244102478027,20203,USA 44,1989-069B,PAYLOAD,US,1989-09-04,Other,GEO,3.893839386120135,0.03161294284686278,1,59845.39917245183,-1.129070488794241,37020.55205855908,36069.07158757154,14.973449937777307,14.1845,36070.015324420725,36156.476786592466,1452.8172916896842,12.206772511238503,1.8810384273529053,1,59845.3950462963,59845.40000578456,spacetrack
316,20220924015,59846.2785625,427.2682800292969,23.61705780029297,1.7444019317626953,23.59636688232422,1.7083903551101685,23.636672973632812,1.7785438299179077,291.2342224121094,29.86756706237793,1294.25,2,16.987863540649414,24.76791000366211,6.198580741882324,40751,YZ-1 R/B,2015-037D,ROCKET BODY,PRC,2015-07-25,Other,MEO,2.338741532776112,0.05108333653970476,1,59846.28699037736,15.479968080064282,23733.515110178832,22798.722050428813,31.27379292273316,56.5362,21854.175939911147,28039.421980015308,919.591559066525,11.9412482172779,2.170379877090454,2,59846.2839595118,59846.28891059149,spacetrack
317,20220925016,59847.23561921297,428.1657409667969,12.734018325805664,2.070991277694702,12.686725616455078,2.060992479324341,12.78811264038086,2.082427978515625,372.8298034667969,78.0547103881836,1696.25,3,17.209383010864258,25.283105850219727,3.861074447631836,20110,SL-12 R/B(2),1989-052D,ROCKET BODY,CIS,1989-07-05,Other,GEO,3.3771808429207795,0.023115706062100116,1,59847.24238558149,1.0499662313377485,36269.1528585258,35138.516222492115,15.574374837041974,12.3583,34896.4014528787,35148.61416888259,1397.2378974309781,13.213371738271501,1.7320501804351807,2,59847.241032691185,59847.24598822665,spacetrack
318,20220926015,59848.29427546296,427.3827209472656,25.933107376098633,-0.06767535209655762,25.858854293823242,-0.09036357700824738,26.06089973449707,-0.028627479448914528,760.56298828125,73.00923156738281,2348.25,4,15.16174030303955,23.58860206604004,22.407211303710938,20771,BS-3A (YURI 3A),1990-077A,PAYLOAD,JPN,1990-08-28,Other,GEO,3.164172231390694,0.00020496025379657112,1,59848.30247332592,-22.066958088835236,37191.29929105498,36238.1541352461,14.901381578613787,15.512400000000001,36160.40175548404,36242.59748215221,1457.3458402618405,11.566825424011173,1.6713316440582275,2,59848.29968429749,59848.30462583937,spacetrack
319,20220927021,59849.28712615741,367.6570739746094,24.52310562133789,-0.3509744107723236,24.463632583618164,-0.3168659210205078,24.599485397338867,-0.39477968215942383,563.7842407226562,119.8355484008789,1981.75,4,15.796759605407715,24.039382934570312,16.83658790588379,24675,ATLAS 2A CENTAUR R/B,1996-070B,ROCKET BODY,US,1996-12-18,Other,HEO,7.999366753688264,0.03893149197322998,1,59849.29921556966,-1.2751735820202157,30982.06036068225,30067.64920352212,11.32268321063252,22.266100000000005,1077.7504522083136,35715.60304998784,646.8078393649138,12.315799013870322,1.4819563627243042,3,59849.29655525759,59849.30081161415,spacetrack
320,20220928018,59850.281236111114,367.5826110839844,25.9609375,1.0933903455734253,25.940004348754883,1.0875455141067505,25.98193359375,1.0992529392242432,156.69174194335938,74.39663696289062,1177.75,2,16.742387771606445,24.420021057128906,8.777175903320312,16276,SATCOM K2,1985-109D,PAYLOAD,US,1985-11-27,Other,GEO,2.539804393012446,0.27822584708300724,1,59850.28562794267,-6.107417013379745,37016.09671255748,36011.13394439523,15.056403270444738,14.961200000000002,35936.347940134816,36012.82000951575,1445.7116307681406,12.387008090907713,1.6654558181762695,1,59850.281236111114,59850.28548899594,spacetrack
321,20220928020,59850.33646180556,367.9792785644531,12.710823059082031,-1.4025726318359375,12.65040397644043,-1.4209346771240234,12.81047248840332,-1.3722881078720093,602.106689453125,73.09063720703125,1291.0,3,17.29262924194336,25.0699462890625,5.2461113929748535,15642,NAHUEL I1 (ANIK C1),1985-028B,PAYLOAD,ARGN,1985-04-12,Other,GEO,2.507676004154291,0.16784114240377335,1,59850.345731796544,-0.27155170653713867,36952.52159236428,35972.96463993526,15.016308571343716,15.0272,35880.64543859636,36038.03924436104,1444.931290406525,13.039827520428267,1.730608582496643,2,59850.34119008149,59850.34545134523,spacetrack
322,20220928022,59850.37256134259,427.7814636230469,25.252859115600586,-1.3851908445358276,25.18513298034668,-1.4041472673416138,25.308879852294922,-1.369510293006897,462.4855041503906,74.35863494873047,718.25,2,17.906818389892578,25.047508239746094,4.84907341003418,19217,PAS 1,1988-051C,PAYLOAD,US,1988-06-15,Other,GEO,3.0879134357348903,0.09223470691085822,1,59850.38829771818,-1.3034233778016642,37074.89402994028,36029.39954922454,14.975438978775003,13.9994,36024.61803259799,36047.17381424306,1448.8520951110631,13.02034920493945,1.9663701057434082,3,59850.38338079396,59850.38833217317,spacetrack
323,20220928024,59850.41203587963,547.69775390625,32.21625518798828,2.065749168395996,32.16331100463867,2.0434679985046387,32.272090911865234,2.0892460346221924,424.64508056640625,67.16426086425781,1669.5,3,15.557411193847656,23.61387825012207,28.779752731323242,27500,ATLAS 5 CENTAUR R/B,2002-038B,ROCKET BODY,US,2002-08-21,Other,HEO,18.438255262464054,0.009047615071352766,1,59850.41422888593,-13.683658329129685,18637.682207412116,17810.41100171077,28.822997330149946,18.2739,247.63221257686382,25074.18021090218,435.7399116519778,10.87582003150828,1.7333621978759766,1,59850.41203587963,59850.41837772058,spacetrack
